Layer,M,N,K,
QKV1,50,12288,128,
QxK_T1,50,128,50,
QxK_TxV1,50,50,128,
Concat*W01,50,12288,12288,
QKV2,50,12288,128,
QxK_T2,50,128,50,
QxK_TxV2,50,50,128,
Concat*W02,50,12288,12288,
FF1,50,12288,49152,
FF2,50,49152,12288,
