Layer,M,N,K,
MH_get_QKV,300,512,64,
MH_QxKT,300,64,300,
MH_QxKTxV,300,300,64,
MH_Concat_Linear,300,512,512,
FF1,300,512,2048,
FF2,300,2048,512,
MH_get_QKV,300,512,64,
MH_QxKT,300,64,300,
MH_QxKTxV,300,300,64,
MH_Concat_Linear,300,512,512,
MH_get_QKV,300,512,64,
MH_QxKT,300,64,300,
MH_QxKTxV,300,300,64,
MH_Concat_Linear,300,512,512,
FF1,300,512,2048,
FF2,300,2048,512,
