Layer,M,N,K,
MH_QKV_in1,512,512,512,
MH_W0_in1,512,512,512,
FC_2048_in1,512,512,2048,
FC_512_in1,512,2048,512,
MH_QKV_de1,512,512,512,
MH_W0_de1,512,512,512,
MH_QKV_de2,512,512,512,
MH_W0_de2,512,512,512,
FC_2048_de1,512,512,2048,
FC_512_de1,512,2048,512,
